,file_label,file_name,file_version,vars
10,"Cognitive Change Index [ADNI2,3]",CCI.csv,,"['Phase', 'ID', 'RID', 'SITEID', 'VISCODE', 'VISCODE2', 'USERDATE', 'USERDATE2', 'CCI1', 'CCI2', 'CCI3', 'CCI4', 'CCI5', 'CCI6', 'CCI7', 'CCI8', 'CCI9', 'CCI10', 'CCI11', 'CCI12', 'CCI13', 'CCI14', 'CCI15', 'CCI16', 'CCI17', 'CCI18', 'CCI19', 'CCI20', 'CCI12TOT', 'DATE', 'SOURCE', 'update_stamp']"
11,Cogstate Battery Documentation,,2015-10-29,Methods file.
12,Cogstate Battery Results Dictionary,ADNI_CBBRESULTS_DICT.csv,2020-06-01,"['ID', 'FLDNAME', 'TBLNAME', 'CRFNAME', 'QUESTION', 'TEXT', 'STATUS', 'DEPRULE', 'TYPE', 'LENGTH', 'DECIML', 'RANGEVAL', 'RANGESQL', 'RANGEPRL', 'UNITS', 'CODE', 'NOTES', 'OBJID', 'COLID', 'RANGEJSCPT', 'NAVJSCPT', 'FTYPE', 'TAB', 'DE', 'MC', 'VISIBLE', 'LOGVISIBLE', 'MTBLNAME', 'SUBTBLNAME', 'POPJSCPT', 'GRID', 'DEF', 'update_stamp']"
13,"Cogstate Battery Results [ADNI2,3]",ADNI_CBBRESULTS.csv,,"['ProtocolID', 'RID', 'SessionID', 'EXAMDATE', 'TestTime', 'Visit', 'SessionAttempt', 'SessionDuration', 'SessionCompletionPass', 'SessionPerformancePass', 'SessionIntegrityPass', 'TestCode', 'TestAttempt', 'TestCompletionScore', 'TestPerformanceScore', 'TestCompletionPass', 'TestPerformancePass', 'TestIntegrityPass', 'TestDuration', 'ReactionTime', 'RawReactionTime', 'RTVariability', 'RawRTVariability', 'Accuracy', 'RawAccuracy', 'TotalCorrect', 'TotalCorrectExclPant', 'TotalErrors', 'LegalErrors', 'RuleBreakErrors', 'TotalAnticipatory', 'TotalPost', 'TotalMaxOut', 'TotalResponses', 'TotalTrials', 'StandardScoreZ', 'StandardScoreT', 'AltStandardScoreZ', 'AltStandardScoreT', 'Psyattstdscr', 'LearnWMStdScr', 'AltLearnWMStdScr', 'update_stamp']"
14,Cogstate Brief Battery [ADNI3],CBBCOMP.csv,2016-05-27,"['Phase', 'ID', 'RID', 'SITEID', 'VISCODE', 'VISCODE2', 'USERDATE', 'USERDATE2', 'DONE', 'NDREASON', 'CBBPTCOMM', 'CBBCOMM', 'update_stamp']"
15,Embic Corporation – Digital Cognitive Biomarkers,ADNI_EMBICDCB.csv,,"['RID', 'VISCODE2', 'N1', 'N2', 'N3', 'N4', 'R1', 'R2', 'R3', 'M1', 'M2', 'M3', 'update_stamp']"
16,Embic Corporation – Digital Cognitive Biomarkers Methods (PDF),,2022-08-19,Methods file.
17,"Everyday Cognition - Participant Self Report [ADNIGO,2,3]",ECOGPT.csv,,"['Phase', 'ID', 'RID', 'SITEID', 'VISCODE', 'VISCODE2', 'USERDATE', 'USERDATE2', 'CONCERN', 'MEMORY1', 'MEMORY2', 'MEMORY3', 'MEMORY4', 'MEMORY5', 'MEMORY6', 'MEMORY7', 'MEMORY8', 'LANG1', 'LANG2', 'LANG3', 'LANG4', 'LANG5', 'LANG6', 'LANG7', 'LANG8', 'LANG9', 'VISSPAT1', 'VISSPAT2', 'VISSPAT3', 'VISSPAT4', 'VISSPAT5', 'VISSPAT6', 'VISSPAT7', 'VISSPAT8', 'PLAN1', 'PLAN2', 'PLAN3', 'PLAN4', 'PLAN5', 'ORGAN1', 'ORGAN2', 'ORGAN3', 'ORGAN4', 'ORGAN5', 'ORGAN6', 'DIVATT1', 'DIVATT2', 'DIVATT3', 'DIVATT4', 'STAFFASST', 'VALIDITY', 'SOURCE', 'EcogPtDivatt', 'EcogPtLang', 'EcogPtMem', 'EcogPtOrgan', 'EcogPtPlan', 'EcogPtVisspat', 'EcogPtTotal', 'COLDATE', 'update_stamp']"
18,"Everyday Cognition - Study Partner Report [ADNIGO,2,3]",ECOGSP.csv,,"['PHASE', 'ID', 'RID', 'SITEID', 'VISCODE', 'VISCODE2', 'USERDATE', 'USERDATE2', 'MEMORY1', 'MEMORY2', 'MEMORY3', 'MEMORY4', 'MEMORY5', 'MEMORY6', 'MEMORY7', 'MEMORY8', 'LANG1', 'LANG2', 'LANG3', 'LANG4', 'LANG5', 'LANG6', 'LANG7', 'LANG8', 'LANG9', 'VISSPAT1', 'VISSPAT2', 'VISSPAT3', 'VISSPAT4', 'VISSPAT5', 'VISSPAT6', 'VISSPAT7', 'VISSPAT8', 'PLAN1', 'PLAN2', 'PLAN3', 'PLAN4', 'PLAN5', 'ORGAN1', 'ORGAN2', 'ORGAN3', 'ORGAN4', 'ORGAN5', 'ORGAN6', 'DIVATT1', 'DIVATT2', 'DIVATT3', 'DIVATT4', 'SOURCE', 'EcogSPDivatt', 'EcogSPLang', 'EcogSPMem', 'EcogSPOrgan', 'EcogSPPlan', 'EcogSPVisspat', 'EcogSPTotal', 'COLDATE', 'update_stamp']"
19,Financial Capacity Instrument Short Form (FCI-SF) [ADNI3],FCI.csv,,"['Phase', 'ID', 'RID', 'SITEID', 'VISCODE', 'VISCODE2', 'USERDATE', 'USERDATE2', 'MC_SCORE', 'FC_SCORE', 'SNGLCHKSCORE', 'COMPLXCHKSCORE', 'CHKCOMPOSTIME', 'CHKCOMPOSSCORE', 'BANKSTATSCORE', 'TOTCOMPTIME', 'FCISCORE', 'DONE', 'NDREASON', 'NICKELS', 'QUARTERS', 'BUDGET', 'EXPMEDINS', 'INSURANCE', 'MEDINSTIME', 'EXPINCTAX', 'TAXCREDA', 'QUES5TIME', 'TAXCREDB', 'EXPCHECKREG', 'PAYEE', 'SNGLCHK7', 'SNGLCHK8', 'SNGLCHK9', 'SNGLCHK10', 'SNGLCHK11', 'SNGLCHK12', 'SNGLCHK13', 'SNGLCHK14', 'SNGLCHK15', 'SNGLCHK16', 'SNGLCHKTIME', 'COMPLXCHK17', 'COMPLXCHK18', 'COMPLXCHK19', 'COMPLXCHK20', 'COMPLXCHK21', 'COMPLXCHK22', 'COMPLXCHK23', 'COMPLXCHK24', 'COMPLXCHK25', 'COMPLXCHK26', 'COMPLXCHK27', 'COMPLXCHK28', 'COMPLXCHK29', 'COMPLXCHK30', 'COMPLXCHKTIME', 'BANKSTATA', 'BANKSTATB', 'EXPBANKSTATE', 'BANKSTAT32', 'BANKSTAT33', 'BANKSTAT34', 'BANKSTAT35', 'BANKSTAT36', 'BANKSTAT37', 'update_stamp']"
20,"Functional Activities Questionnaire (FAQ) [ADNI1,GO,2,3]",FAQ.csv,,"['Phase', 'ID', 'RID', 'SITEID', 'VISCODE', 'VISCODE2', 'USERDATE', 'USERDATE2', 'EXAMDATE', 'FAQSOURCE', 'FAQFINAN', 'FAQFORM', 'FAQSHOP', 'FAQGAME', 'FAQBEVG', 'FAQMEAL', 'FAQEVENT', 'FAQTV', 'FAQREM', 'FAQTRAVL', 'FAQTOTAL', 'SPID', 'FAQDATE', 'update_stamp']"
21,"Geriatric Depression Scale (GDS) [ADNI1,GO,2,3]",GDSCALE.csv,,"['Phase', 'ID', 'RID', 'SITEID', 'VISCODE', 'VISCODE2', 'USERDATE', 'USERDATE2', 'EXAMDATE', 'GDSOURCE', 'GDUNABL', 'GDUNABSP', 'GDSATIS', 'GDDROP', 'GDEMPTY', 'GDBORED', 'GDSPIRIT', 'GDAFRAID', 'GDHAPPY', 'GDHELP', 'GDHOME', 'GDMEMORY', 'GDALIVE', 'GDWORTH', 'GDENERGY', 'GDHOPE', 'GDBETTER', 'GDTOTAL', 'GDDATE', 'update_stamp']"
